code	dhatu	artha
01.2222	vrIqa~\	
01.2223	vaqQa~	
01.2224	DvraRa~	Sabde
01.2225	GfRRa~\	
01.2226	GiRRa~\	grahaRe
01.2227	GuRRa~\	
01.2228	GUrRa~^	gatO
01.2229	JaRa~	Sabde
01.2230	kURa~^	
01.2231	lERa~	gatO
01.2232	peRa~	gatO
01.2233	anta~	banDane
01.2234	cfta~	banDane
01.2235	cinta~	cintAyAm
01.2236	Inta~	banDane
01.2237	kfta~	Cedane
01.2238	arTa~\	prayatne
01.2239	granTa~^	banDane
01.2240	granTa~\	kOwilye
01.2241	kunTa~	hiMsAyAm
01.2242	lunTa~	hiMsAyAm
01.2243	mAnTa~	hiMsAyAm
01.2244	panTa~	gatO
01.2245	pruTa~^	
01.2246	punTa~	dAne
01.2247	SnaTa~	hiMsAyAm
01.2248	anda~	banDane
01.2249	banda~	
01.2250	Banda~\	dIptO
01.2251	binda~	Cedane
01.2252	buda~^	jYAne
01.2253	Cada~	saMvaraRe
01.2254	Cadi~\	
01.2255	Cada~	pAlane
01.2256	canda~	dIptO
01.2257	Canda~\	
01.2258	Cfda~\	
01.2259	cuda~\	preraRe
01.2260	gUrda~	
01.2261	inda~	
01.2262	kanda~^	BAzAyAm
01.2263	klanda~^	
01.2264	klinda~^	
01.2265	kranda~^	Sabde
01.2266	kUrda~^	
01.2267	kzada~\	Cedane
01.2268	kzuda~^	hiMsAyAm
01.2269	manda~^	made
01.2270	mfda~^	hiMsAyAm
01.2271	minda~\	vfdDO
01.2272	nanda~	prIRane
01.2273	pada~	
01.2274	sada~	
01.2275	skunda~\	
01.2276	spanda~\	kampane
01.2277	sUda~\	
01.2278	svada~^	AsvAdane
01.2279	svida~^	
01.2280	Svinda~	
01.2281	syadi~\	gatO
01.2282	tanda~\	
01.2283	tranda~	
01.2284	tunda~	
01.2285	Urda~\	mAne
01.2286	vanda~\	stutO
01.2287	banDa~^	banDane
01.2288	duDa~	hiMsAyAm
01.2289	guDa~\	saMvaraRe
01.2290	prEDa~\	
01.2291	ruDa~	vfdDO
01.2292	sADa~^	
01.2293	siDa~	gatO
01.2294	siDa~	
01.2295	spfDa~^	
01.2296	sriDa~	
01.2297	SuDi~^	
01.2298	veDa~\	kampane
01.2299	yuDa~	
01.2300	hana~	hiMsAyAm
01.2301	jana~\	
01.2302	sana~	AsvAdane
01.2303	stana~	Sabde
01.2304	tana~	
01.2305	cfpa~	
01.2306	Cfpa~	
01.2307	culumpa~	
01.2308	dipa~\	
01.2309	hrepa~\	gatO
01.2310	kampa~^	viloqane
01.2311	kxpa~^	
01.2312	kzampa~	DAraRe
01.2313	kzapa~^	karaRe
01.2314	kzumpa~	gatO
01.2315	lipi~^	
01.2316	saMvapa~^	secane
01.2317	sapa~^	pUjAyAm
01.2318	stepa~\	kzaraRe
01.2319	stipa~\	kzaraRe
01.2320	tfpa~\	
01.2321	tumpa~	hiMsAyAm
01.2322	ramPa~	gatO
01.2323	rarPa~	gatO
01.2324	tumPa~	hiMsAyAm
01.2325	varPa~	gatO
01.2326	amba~^	gatO
01.2327	bamba~	gatO
01.2328	camba~	gatO
01.2329	cIba~	darSane
01.2330	cumba~\	
01.2331	gamba~	gatO
01.2332	Gamba~\	gatO
01.2333	kamba~	gatO
01.2334	Kamba~	gatO
01.2335	lamba~\	
01.2336	lamba~\	Sabde
01.2337	lumba~	
01.2338	mamba~	gatO
01.2339	namba~	gatO
01.2340	pamba~	gatO
01.2341	plaba~\	gatO
01.2342	ramba~\	
01.2343	ramba~^	Sabde
01.2344	Samba~	gatO
01.2345	sarba~	gatO
01.2346	tamba~	gatO
01.2347	tarba~	gatO
01.2348	tumba~	ardane
01.2349	BarBa~	hiMsAyAm
01.2350	bIBa~\	
01.2351	daBi~	hiMsAyAm
01.2352	damBa~	hiMsAyAm
01.2353	dfBa~	Baye
01.2354	jamBa~	
01.2355	jamBa~\	jYAne
01.2356	jfmBa~^	
01.2357	lamBa~\	Sabde
01.2358	ramBa~\	Sabde
01.2359	riBa~^	
01.2360	sfBi~	hiMsAyAm
01.2361	sfmBa~	hiMsAyAm
01.2362	skamBa~\	
01.2363	SramBa~\	
01.2364	sriBi~	hiMsAyAm
01.2365	srimBa~	hiMsAyAm
01.2366	staBi~\	DAraRe
01.2367	stamBa~\	DAraRe
01.2368	stuBa~^	BAzAyAm
01.2369	SumBa~\	dIptO
01.2370	SumBa~	hiMsAyAm
01.2371	brahma~	gatO
01.2372	Dama~^	
01.2373	drumma~	gatO
01.2374	klama~	
01.2375	qama~	Sabde
01.2376	sama~	
01.2377	stama~	
01.2378	dAya~\	dAne
01.2379	laya~\	gatO
01.2380	pAya~\	
01.2381	pIya~	
01.2382	saya~\	gatO
01.2383	vewya~	
01.2384	cura~	steye
01.2385	sTira~	
01.2386	svara~	dIptO
01.2387	SvAtra~	gatO
01.2388	tandra~	karaRe
01.2389	yantra~	banDane
